"Conduction Band (eV)","vtkValidPointMask","arc_length","x (nm)","y (nm)","z (nm)"
1.235,1,37.44,-92.56,0,25.9
1.2313,1,37.7,-92.3,0,25.9
1.2273,1,37.96,-92.04,0,25.9
1.2233,1,38.22,-91.78,0,25.9
1.2193,1,38.48,-91.52,0,25.9
1.2153,1,38.74,-91.26,0,25.9
1.2113,1,39,-91,0,25.9
1.2073,1,39.26,-90.74,0,25.9
1.2033,1,39.52,-90.48,0,25.9
1.1994,1,39.78,-90.22,0,25.9
1.1954,1,40.04,-89.96,0,25.9
1.1914,1,40.3,-89.7,0,25.9
1.1874,1,40.56,-89.44,0,25.9
1.1834,1,40.82,-89.18,0,25.9
1.1794,1,41.08,-88.92,0,25.9
1.1754,1,41.34,-88.66,0,25.9
1.1715,1,41.6,-88.4,0,25.9
1.1675,1,41.86,-88.14,0,25.9
1.1654,1,42.12,-87.88,0,25.9
1.1644,1,42.38,-87.62,0,25.9
1.1635,1,42.64,-87.36,0,25.9
1.1625,1,42.9,-87.1,0,25.9
1.1615,1,43.16,-86.84,0,25.9
1.1606,1,43.42,-86.58,0,25.9
1.1596,1,43.68,-86.32,0,25.9
1.1586,1,43.94,-86.06,0,25.9
1.1577,1,44.2,-85.8,0,25.9
1.1567,1,44.46,-85.54,0,25.9
1.1557,1,44.72,-85.28,0,25.9
1.1548,1,44.98,-85.02,0,25.9
1.1538,1,45.24,-84.76,0,25.9
1.1528,1,45.5,-84.5,0,25.9
1.1519,1,45.76,-84.24,0,25.9
1.1509,1,46.02,-83.98,0,25.9
1.15,1,46.28,-83.72,0,25.9
1.1492,1,46.54,-83.46,0,25.9
1.1491,1,46.8,-83.2,0,25.9
1.1489,1,47.06,-82.94,0,25.9
1.1484,1,47.32,-82.68,0,25.9
1.1478,1,47.58,-82.42,0,25.9
1.147,1,47.84,-82.16,0,25.9
1.1463,1,48.1,-81.9,0,25.9
1.1455,1,48.36,-81.64,0,25.9
1.1448,1,48.62,-81.38,0,25.9
1.144,1,48.88,-81.12,0,25.9
1.1433,1,49.14,-80.86,0,25.9
1.1425,1,49.4,-80.6,0,25.9
1.1418,1,49.66,-80.34,0,25.9
1.141,1,49.92,-80.08,0,25.9
1.1402,1,50.18,-79.82,0,25.9
1.1395,1,50.44,-79.56,0,25.9
1.1387,1,50.7,-79.3,0,25.9
1.1383,1,50.96,-79.04,0,25.9
1.1379,1,51.22,-78.78,0,25.9
1.1375,1,51.48,-78.52,0,25.9
1.137,1,51.74,-78.26,0,25.9
1.1365,1,52,-78,0,25.9
1.136,1,52.26,-77.74,0,25.9
1.1355,1,52.52,-77.48,0,25.9
1.1351,1,52.78,-77.22,0,25.9
1.1347,1,53.04,-76.96,0,25.9
1.1343,1,53.3,-76.7,0,25.9
1.1339,1,53.56,-76.44,0,25.9
1.1335,1,53.82,-76.18,0,25.9
1.1331,1,54.08,-75.92,0,25.9
1.1327,1,54.34,-75.66,0,25.9
1.1323,1,54.6,-75.4,0,25.9
1.1321,1,54.86,-75.14,0,25.9
1.1318,1,55.12,-74.88,0,25.9
1.1315,1,55.38,-74.62,0,25.9
1.1313,1,55.64,-74.36,0,25.9
1.131,1,55.9,-74.1,0,25.9
1.1307,1,56.16,-73.84,0,25.9
1.1304,1,56.42,-73.58,0,25.9
1.1302,1,56.68,-73.32,0,25.9
1.1299,1,56.94,-73.06,0,25.9
1.1296,1,57.2,-72.8,0,25.9
1.1295,1,57.46,-72.54,0,25.9
1.1294,1,57.72,-72.28,0,25.9
1.1293,1,57.98,-72.02,0,25.9
1.1292,1,58.24,-71.76,0,25.9
1.129,1,58.5,-71.5,0,25.9
1.1289,1,58.76,-71.24,0,25.9
1.1287,1,59.02,-70.98,0,25.9
