"Conduction Band (eV)","vtkValidPointMask","arc_length","x (nm)","y (nm)","z (nm)"
1.2346,1.25,1,11.18,-118.82,0,25.9
1.2365,1.25,1,11.44,-118.56,0,25.9
1.2385,1.25,1,11.7,-118.3,0,25.9
1.2404,1.25,1,11.96,-118.04,0,25.9
1.2423,1.25,1,12.22,-117.78,0,25.9
1.2443,1.25,1,12.48,-117.52,0,25.9
1.2462,1.25,1,12.74,-117.26,0,25.9
1.2481,1.25,1,13,-117,0,25.9
1.2501,1.25,1,13.26,-116.74,0,25.9
1.252,1.25,1,13.52,-116.48,0,25.9
1.254,1.25,1,13.78,-116.22,0,25.9
1.2559,1.25,1,14.04,-115.96,0,25.9
1.258,1.25,1,14.3,-115.7,0,25.9
1.2596,1.25,1,14.56,-115.44,0,25.9
1.2595,1.25,1,14.82,-115.18,0,25.9
1.2588,0,1,15.08,-114.92,0,25.9
1.2568,0,1,15.34,-114.66,0,25.9
1.2565,0,1,15.6,-114.4,0,25.9
1.2574,0,1,15.86,-114.14,0,25.9
1.2582,0,1,16.12,-113.88,0,25.9
1.259,0,1,16.38,-113.62,0,25.9
1.2599,0,1,16.64,-113.36,0,25.9
1.2607,0,1,16.9,-113.1,0,25.9
1.2615,0,1,17.16,-112.84,0,25.9
1.2623,0,1,17.42,-112.58,0,25.9
1.2632,0,1,17.68,-112.32,0,25.9
1.264,0,1,17.94,-112.06,0,25.9
1.2648,0,1,18.2,-111.8,0,25.9
1.2657,0,1,18.46,-111.54,0,25.9
1.2665,0,1,18.72,-111.28,0,25.9
1.2673,0,1,18.98,-111.02,0,25.9
1.2682,0,1,19.24,-110.76,0,25.9
1.2684,0,1,19.5,-110.5,0,25.9
1.2683,0,1,19.76,-110.24,0,25.9
1.2683,0,1,20.02,-109.98,0,25.9
1.2682,0,1,20.28,-109.72,0,25.9
1.2681,0,1,20.54,-109.46,0,25.9
1.2681,0,1,20.8,-109.2,0,25.9
1.268,0,1,21.06,-108.94,0,25.9
1.2679,0,1,21.32,-108.68,0,25.9
1.2678,0,1,21.58,-108.42,0,25.9
1.2678,0,1,21.84,-108.16,0,25.9
1.2677,0,1,22.1,-107.9,0,25.9
1.2676,0,1,22.36,-107.64,0,25.9
1.2676,0,1,22.62,-107.38,0,25.9
1.2676,0,1,22.88,-107.12,0,25.9
1.2678,0,1,23.14,-106.86,0,25.9
1.2681,0,1,23.4,-106.6,0,25.9
1.2683,0,1,23.66,-106.34,0,25.9
1.2679,0,1,23.92,-106.08,0,25.9
1.2675,0,1,24.18,-105.82,0,25.9
1.2669,0,1,24.44,-105.56,0,25.9
1.2672,0,1,24.7,-105.3,0,25.9
1.2674,0,1,24.96,-105.04,0,25.9
1.2677,0,1,25.22,-104.78,0,25.9
1.2679,0,1,25.48,-104.52,0,25.9
1.2681,0,1,25.74,-104.26,0,25.9
1.2684,0,1,26,-104,0,25.9
1.2686,0,1,26.26,-103.74,0,25.9
1.2689,0,1,26.52,-103.48,0,25.9
1.2691,0,1,26.78,-103.22,0,25.9
1.2694,0,1,27.04,-102.96,0,25.9
